idx,latt,lon,dni
101,60,-64,0.0
102,60,-63,0.0
103,60,-62,0.0
104,60,-61,0.0
105,60,-60,0.0
106,60,-59,0.0
107,60,-58,0.0
108,60,-57,0.0
109,60,-56,0.0
110,60,-55,0.0
111,60,-54,0.0
112,60,-53,0.0
113,60,-52,0.0
114,60,-51,0.0
115,60,-50,0.0
116,60,-49,0.0
117,60,-48,0.0
118,60,-47,0.0
119,60,-46,19.553571428571427
120,60,-45,13.035714285714286
121,60,-44,0.0
122,60,-43,0.0
123,60,-42,0.0
124,60,-41,0.0
125,60,-40,0.0
126,60,-39,0.0
127,60,-38,0.0
128,60,-37,0.0
129,60,-36,0.0
130,60,-35,0.0
131,60,-34,0.0
132,60,-33,0.0
133,60,-32,0.0
134,60,-31,0.0
135,60,-30,0.0
136,60,-29,0.0
137,60,-28,0.0
138,60,-27,0.0
139,60,-26,0.0
140,60,-25,0.0
141,60,-24,0.0
142,60,-23,0.0
143,60,-22,0.0
144,60,-21,0.0
145,60,-20,0.0
146,60,-19,0.0
147,60,-18,0.0
148,60,-17,0.0
149,60,-16,58.660714285714285
150,60,-15,0.0
151,60,-14,0.0
152,60,-13,0.0
153,60,-12,0.0
154,60,-11,0.0
155,60,-10,0.0
156,60,-9,0.0
157,60,-8,0.0
158,60,-7,0.0
159,60,-6,0.0
160,60,-5,0.0
161,60,-4,0.0
162,60,-3,0.0
163,60,-2,36.5
164,60,-1,15.208333333333334
165,60,0,0.0
166,60,1,0.0
167,60,2,0.0
168,60,3,0.0
169,60,4,211.17857142857144
170,60,5,643.9642857142857
171,60,6,915.1071428571428
172,60,7,967.25
173,60,8,967.25
174,60,9,889.0357142857143
175,60,10,995.9285714285714
176,60,11,915.1071428571428
177,60,12,821.25
178,60,13,855.1428571428571
179,60,14,982.0238095238096
180,60,15,988.1071428571428
181,60,16,993.3214285714286
182,60,17,922.9285714285714
183,60,18,80.82142857142857
184,60,19,28.678571428571427
185,60,20,0.0
186,60,21,33.892857142857146
187,60,22,284.17857142857144
188,60,23,307.6428571428572
189,60,24,286.7857142857143
190,60,25,401.5
191,60,26,286.7857142857143
192,60,27,328.5
193,60,28,711.75
194,60,29,842.9761904761905
195,60,30,774.3214285714286
196,60,31,988.1071428571428
197,60,32,993.3214285714286
198,60,33,998.5357142857144
199,60,34,993.3214285714286
200,60,35,993.3214285714286
201,60,36,998.5357142857144
202,60,37,993.3214285714286
203,60,38,993.3214285714286
204,60,39,998.5357142857144
205,60,40,993.3214285714286
206,60,41,993.3214285714286
207,60,42,998.5357142857144
